Date,RF_Forecast
2025-02-24,0.011092685283353625
2025-02-25,0.0
2025-02-26,0.009758293576665761
2025-02-27,0.0
2025-02-28,0.009189883269603993
2025-03-01,0.00018116543
2025-03-02,0.008307845206981414
2025-03-03,0.00670312063
2025-03-04,0.0032609776
2025-03-05,0.00018116542200000003
2025-03-06,0.00940369430811032
2025-03-07,0.0005736905110000001
2025-03-08,0.008080794828045109
2025-03-09,0.0009964098449999998
2025-03-10,0.014865629465666665
2025-03-11,0.0013285464459999994
2025-03-12,0.0096410200311
2025-03-13,0.000996409853
2025-03-14,0.013533057128266676
2025-03-15,0.0010869925499999997
2025-03-16,0.012990567316966684
2025-03-17,0.008129569791325763
2025-03-18,0.006544600883249999
2025-03-19,0.000664273222
2025-03-20,0.013425364332433345
2025-03-21,0.000845438652
2025-03-22,0.005932161157599997
2025-03-23,0.0008756328969999999
2025-03-24,0.017512657882000012
2025-03-25,0.0010869925499999995
