Date,RF_Forecast
2025-02-24,3.479015903876537
2025-02-25,1.6541963572590896
2025-02-26,2.247566904299509
2025-02-27,0.9246532028621622
2025-02-28,2.6517040359799013
2025-03-01,1.1216816395427174
2025-03-02,3.9663532158306873
2025-03-03,1.7587106686515133
2025-03-04,3.1727278889206207
2025-03-05,1.7101045602614375
2025-03-06,2.083487947415243
2025-03-07,1.681202322642687
2025-03-08,2.7411608100680276
2025-03-09,3.147850121666667
2025-03-10,3.919964290000001
2025-03-11,3.5016282000000007
2025-03-12,3.734037130000001
2025-03-13,2.5255105999999987
2025-03-14,4.090397530000001
2025-03-15,3.3544358549999997
2025-03-16,3.9354582400000004
2025-03-17,3.9354582400000004
2025-03-18,3.9354582400000004
2025-03-19,3.9354582400000004
2025-03-20,3.9044703700000003
2025-03-21,3.9354582400000004
2025-03-22,3.9354582400000004
2025-03-23,3.9354582400000004
2025-03-24,3.9354582400000004
2025-03-25,3.9354582400000004
