Date,RF_Forecast
2025-02-24,0.2523769788
2025-02-25,0.25375316540000026
2025-02-26,0.25521228020000025
2025-02-27,0.25843151200000025
2025-02-28,0.2882686546
2025-03-01,0.38283452909999993
2025-03-02,0.4697117633000004
2025-03-03,0.47011223730000024
2025-03-04,0.47366512340000033
2025-03-05,0.4690940804000002
2025-03-06,0.4632164968000004
2025-03-07,0.4499745766000004
2025-03-08,0.5487190678000001
2025-03-09,0.5939495842999998
2025-03-10,0.2524812333000001
2025-03-11,0.2537840739000002
2025-03-12,0.25729168950000025
2025-03-13,0.2872180687000001
2025-03-14,0.3474948045000001
2025-03-15,0.4233993219000001
2025-03-16,0.4671794295000003
2025-03-17,0.4697250416000003
2025-03-18,0.4716087852000003
2025-03-19,0.46337712030000033
2025-03-20,0.43086225530000005
2025-03-21,0.4149517533000001
2025-03-22,0.5563593823000003
2025-03-23,0.5347354021000004
2025-03-24,0.2522311560000001
2025-03-25,0.2555724875000002
