Date,RF_Forecast
2025-02-24,0.34552579734223854
2025-02-25,0.034993507865266116
2025-02-26,0.2805572650037707
2025-02-27,0.02054040724587546
2025-02-28,0.21717119186343908
2025-03-01,0.02054040724587546
2025-03-02,0.18377928420954798
2025-03-03,0.013741020009129573
2025-03-04,0.16253928097837306
2025-03-05,0.22722306888423568
2025-03-06,0.02125248785613654
2025-03-07,0.20826183546883167
2025-03-08,0.02117335723674589
2025-03-09,0.30343726749070443
2025-03-10,0.20078626502300548
2025-03-11,0.021560956
2025-03-12,0.3014134072155278
2025-03-13,0.064682868
2025-03-14,0.276112365752814
2025-03-15,0.05390239
2025-03-16,0.3193980030096568
2025-03-17,0.021499234786259543
2025-03-18,0.2769440885638186
2025-03-19,0.22273481728625963
2025-03-20,0.010780478
2025-03-21,0.31579439648994184
2025-03-22,0.07546334550000001
2025-03-23,0.45256077976964343
2025-03-24,0.261937356736746
2025-03-25,0.0143739705
