Date,RF_Forecast
2025-02-24,0.38580992339999987
2025-02-25,0.38299036229999994
2025-02-26,0.37923094749999997
2025-02-27,0.3942686053999999
2025-02-28,0.42528377469999995
2025-03-01,0.38580992259999985
2025-03-02,0.39379867730000007
2025-03-03,0.2011286809
2025-03-04,0.1945497057
2025-03-05,0.19548955939999998
2025-03-06,0.19548955939999998
2025-03-07,0.1987790473
2025-03-08,0.2706778533999998
2025-03-09,0.22321524259999997
2025-03-10,0.22838443799999994
2025-03-11,0.38299036229999994
2025-03-12,0.3839302159999999
2025-03-13,0.37970087439999994
2025-03-14,0.41165589879999986
2025-03-15,0.4313928237999999
2025-03-16,0.4487801149999996
2025-03-17,0.4332725285999999
2025-03-18,0.4680471114999999
2025-03-19,0.19548955899999998
2025-03-20,0.19595948629999999
2025-03-21,0.19971890119999997
2025-03-22,0.28195609989999953
2025-03-23,0.2904147788999998
2025-03-24,0.3012230935
2025-03-25,0.3298886240000001
