Date,RF_Forecast
2025-02-24,12.444870790000023
2025-02-25,12.466138890000025
2025-02-26,12.466138890000025
2025-02-27,12.466138890000025
2025-02-28,12.428160150000023
2025-03-01,12.411449460000023
2025-03-02,12.017989640000021
2025-03-03,11.902534230000022
2025-03-04,11.888861860000022
2025-03-05,11.888861860000022
2025-03-06,11.888861860000022
2025-03-07,11.905572510000022
2025-03-08,11.92987886000002
2025-03-09,12.397777110000023
2025-03-10,12.446389940000023
2025-03-11,12.467658040000025
2025-03-12,12.467658040000025
2025-03-13,12.467658040000025
2025-03-14,12.365875010000023
2025-03-15,12.343087740000023
2025-03-16,12.280802570000018
2025-03-17,12.294474900000019
2025-03-18,12.268649360000019
2025-03-19,12.268649360000019
2025-03-20,12.268649360000019
2025-03-21,12.315743000000019
2025-03-22,12.33853027000002
2025-03-23,12.368913310000021
2025-03-24,12.368913310000021
2025-03-25,12.394738850000019
