Date,HW_Forecast
2025-02-24,2.6514394437849093e-05
2025-02-25,6.487336817022217e-05
2025-02-26,9.368023077338339e-05
2025-02-27,9.59447917192736e-05
2025-02-28,5.644944508733608e-05
2025-03-01,0.00028686018243579434
2025-03-02,-5.0960795563217775e-05
2025-03-03,2.6514394437849093e-05
2025-03-04,6.487336817022217e-05
2025-03-05,9.368023077338339e-05
2025-03-06,9.59447917192736e-05
2025-03-07,5.644944508733608e-05
2025-03-08,0.00028686018243579434
2025-03-09,-5.0960795563217775e-05
2025-03-10,2.6514394437849093e-05
2025-03-11,6.487336817022217e-05
2025-03-12,9.368023077338339e-05
2025-03-13,9.59447917192736e-05
2025-03-14,5.644944508733608e-05
2025-03-15,0.00028686018243579434
2025-03-16,-5.0960795563217775e-05
2025-03-17,2.6514394437849093e-05
2025-03-18,6.487336817022217e-05
2025-03-19,9.368023077338339e-05
2025-03-20,9.59447917192736e-05
2025-03-21,5.644944508733608e-05
2025-03-22,0.00028686018243579434
2025-03-23,-5.0960795563217775e-05
2025-03-24,2.6514394437849093e-05
2025-03-25,6.487336817022217e-05
