Date,HW_Forecast
2025-02-24,-2.9276491376608526e-05
2025-02-25,-2.8417809613030577e-05
2025-02-26,-1.9901396253618423e-05
2025-02-27,-2.0109816717134674e-05
2025-02-28,-1.9251483539060662e-05
2025-03-01,-3.13839207829927e-05
2025-03-02,1.5740947983967958e-07
2025-03-03,-2.9276491376608526e-05
2025-03-04,-2.8417809613030577e-05
2025-03-05,-1.9901396253618423e-05
2025-03-06,-2.0109816717134674e-05
2025-03-07,-1.9251483539060662e-05
2025-03-08,-3.13839207829927e-05
2025-03-09,1.5740947983967958e-07
2025-03-10,-2.9276491376608526e-05
2025-03-11,-2.8417809613030577e-05
2025-03-12,-1.9901396253618423e-05
2025-03-13,-2.0109816717134674e-05
2025-03-14,-1.9251483539060662e-05
2025-03-15,-3.13839207829927e-05
2025-03-16,1.5740947983967958e-07
2025-03-17,-2.9276491376608526e-05
2025-03-18,-2.8417809613030577e-05
2025-03-19,-1.9901396253618423e-05
2025-03-20,-2.0109816717134674e-05
2025-03-21,-1.9251483539060662e-05
2025-03-22,-3.13839207829927e-05
2025-03-23,1.5740947983967958e-07
2025-03-24,-2.9276491376608526e-05
2025-03-25,-2.8417809613030577e-05
