Date,RF_Forecast
2025-02-24,3.5401497330000007
2025-02-25,3.5261130420000004
2025-02-26,3.5280491370000004
2025-02-27,3.5261130420000004
2025-02-28,3.527323102000001
2025-03-01,3.5188526860000007
2025-03-02,3.5161905580000026
2025-03-03,3.622191771999999
2025-03-04,3.939227346999998
2025-03-05,4.034822038999999
2025-03-06,3.95665219
2025-03-07,4.005054572999998
2025-03-08,3.939711357999999
2025-03-09,3.580081698999999
2025-03-10,3.9353551330000016
2025-03-11,3.5558805109999994
2025-03-12,3.503847943999998
2025-03-13,3.4798887649999983
2025-03-14,3.4888432049999976
2025-03-15,3.4721443809999983
2025-03-16,3.4680301789999985
2025-03-17,3.5265970560000004
2025-03-18,3.5609627209999974
2025-03-19,3.869527848999999
2025-03-20,3.947939714999998
2025-03-21,4.0607172439999975
2025-03-22,4.103553360999999
2025-03-23,4.233029764999996
2025-03-24,4.276107816999997
2025-03-25,4.295226805999997
