Date,RF_Forecast
2025-02-24,3.6225795300000003
2025-02-25,3.6801695520000006
2025-02-26,3.697222906
2025-02-27,3.700018544
2025-02-28,3.716233206
2025-03-01,3.7455873449999997
2025-03-02,3.3438550300000007
2025-03-03,3.0363355170000013
2025-03-04,3.044722427000001
2025-03-05,3.051991078
2025-03-06,3.024034753000001
2025-03-07,3.0047448940000017
2025-03-08,2.928424174000001
2025-03-09,2.5867980370000025
2025-03-10,3.460992027999999
2025-03-11,3.7542538199999997
2025-03-12,3.867756479
2025-03-13,3.9175187319999996
2025-03-14,3.9219917300000002
2025-03-15,3.893476273
2025-03-16,3.8652403900000003
2025-03-17,3.8286175939999993
2025-03-18,3.5328397869999986
2025-03-19,3.1420104539999993
2025-03-20,3.170525900999999
2025-03-21,3.153472544999998
2025-03-22,2.9955193449999995
2025-03-23,2.609163105000003
2025-03-24,3.5264098699999975
2025-03-25,3.551570526
