Date,HW_Forecast
2025-02-24,-3.203165336550934e-05
2025-02-25,-0.0003076919023155089
2025-02-26,1.4852002830775476e-05
2025-02-27,-6.551261454997683e-05
2025-02-28,-6.902405560270687e-05
2025-03-01,-7.989791522729441e-05
2025-03-02,4.0122881601722526e-07
2025-03-03,-3.203165336550934e-05
2025-03-04,-0.0003076919023155089
2025-03-05,1.4852002830775476e-05
2025-03-06,-6.551261454997683e-05
2025-03-07,-6.902405560270687e-05
2025-03-08,-7.989791522729441e-05
2025-03-09,4.0122881601722526e-07
2025-03-10,-3.203165336550934e-05
2025-03-11,-0.0003076919023155089
2025-03-12,1.4852002830775476e-05
2025-03-13,-6.551261454997683e-05
2025-03-14,-6.902405560270687e-05
2025-03-15,-7.989791522729441e-05
2025-03-16,4.0122881601722526e-07
2025-03-17,-3.203165336550934e-05
2025-03-18,-0.0003076919023155089
2025-03-19,1.4852002830775476e-05
2025-03-20,-6.551261454997683e-05
2025-03-21,-6.902405560270687e-05
2025-03-22,-7.989791522729441e-05
2025-03-23,4.0122881601722526e-07
2025-03-24,-3.203165336550934e-05
2025-03-25,-0.0003076919023155089
