Date,HW_Forecast
2025-02-24,3.773212636681069e-06
2025-02-25,-6.068149999293795e-06
2025-02-26,-3.794944610733175e-06
2025-02-27,1.4597268825873636e-06
2025-02-28,-2.1935671972604423e-06
2025-03-01,2.715833914516404e-06
2025-03-02,-1.3526947521018204e-08
2025-03-03,3.773212636681069e-06
2025-03-04,-6.068149999293795e-06
2025-03-05,-3.794944610733175e-06
2025-03-06,1.4597268825873636e-06
2025-03-07,-2.1935671972604423e-06
2025-03-08,2.715833914516404e-06
2025-03-09,-1.3526947521018204e-08
2025-03-10,3.773212636681069e-06
2025-03-11,-6.068149999293795e-06
2025-03-12,-3.794944610733175e-06
2025-03-13,1.4597268825873636e-06
2025-03-14,-2.1935671972604423e-06
2025-03-15,2.715833914516404e-06
2025-03-16,-1.3526947521018204e-08
2025-03-17,3.773212636681069e-06
2025-03-18,-6.068149999293795e-06
2025-03-19,-3.794944610733175e-06
2025-03-20,1.4597268825873636e-06
2025-03-21,-2.1935671972604423e-06
2025-03-22,2.715833914516404e-06
2025-03-23,-1.3526947521018204e-08
2025-03-24,3.773212636681069e-06
2025-03-25,-6.068149999293795e-06
