Date,RF_Forecast
2025-02-24,0.7232615418000008
2025-02-25,0.7235565684000008
2025-02-26,0.7248841948000008
2025-02-27,0.7260643073000008
2025-02-28,0.7259167923000008
2025-03-01,0.7281295033000009
2025-03-02,0.7642704346000007
2025-03-03,0.7717936492000007
2025-03-04,0.7573372754000006
2025-03-05,0.7743013892000004
2025-03-06,0.7676632576000005
2025-03-07,0.7710560792000005
2025-03-08,0.7688433696000005
2025-03-09,0.7797594096000005
2025-03-10,0.7229665134000008
2025-03-11,0.7245891664000007
2025-03-12,0.7245891664000008
2025-03-13,0.7284245317000009
2025-03-14,0.7266543623000008
2025-03-15,0.7279819887000007
2025-03-16,0.7478963652000001
2025-03-17,0.7518792448
2025-03-18,0.7498140492000002
2025-03-19,0.7536494126000002
2025-03-20,0.7523217862000005
2025-03-21,0.7493715054000003
2025-03-22,0.7505516178000003
2025-03-23,0.7802019464000005
2025-03-24,0.7248841933000008
2025-03-25,0.7251792199000008
