Date,RF_Forecast
2025-02-24,0.10516177701844524
2025-02-25,0.12260299860113202
2025-02-26,0.10862283640690679
2025-02-27,0.12867185236401674
2025-02-28,0.11073562990255605
2025-03-01,0.13234395415812628
2025-03-02,0.1457980898847786
2025-03-03,0.18579331573757207
2025-03-04,0.030471915
2025-03-05,0.14842589197571715
2025-03-06,0.1292735870217339
2025-03-07,0.1523199551105353
2025-03-08,0.15092417090085866
2025-03-09,0.13595161750000007
2025-03-10,0.08702075575333337
2025-03-11,0.1111052884933334
2025-03-12,0.19695404967333333
2025-03-13,0.1653101360666667
2025-03-14,0.15769215669333345
2025-03-15,0.14532759193333344
2025-03-16,0.14913658093333343
2025-03-17,0.2508463672250002
2025-03-18,0.025783927499999998
2025-03-19,0.13981920665333342
2025-03-20,0.13601021727333343
2025-03-21,0.15446916462666677
2025-03-22,0.14685118619333346
2025-03-23,0.1345452208800001
2025-03-24,0.09088834477333338
2025-03-25,0.1064173014933334
