Date,RF_Forecast
2025-02-24,0.00957472981999999
2025-02-25,0.010706911069508359
2025-02-26,0.010974880721281468
2025-02-27,0.01098496972650186
2025-02-28,0.010974414444696665
2025-03-01,0.011122538919577618
2025-03-02,0.04352993106071432
2025-03-03,0.08079069388666671
2025-03-04,0.03757924980666671
2025-03-05,0.031305611560000036
2025-03-06,0.03238511531000003
2025-03-07,0.030226107710000033
2025-03-08,0.03219737552000002
2025-03-09,0.09401070550999992
2025-03-10,0.014549834850000012
2025-03-11,0.00919925019999999
2025-03-12,0.01089509786650836
2025-03-13,0.04351144941733522
2025-03-14,0.07907052927833341
2025-03-15,0.012090443180000004
2025-03-16,0.05321484585000001
2025-03-17,0.07434496109999994
2025-03-18,0.041537430330000014
2025-03-19,0.041678234979999985
2025-03-20,0.07528365982
2025-03-21,0.02989532803238097
2025-03-22,0.05904416640999997
2025-03-23,0.09232104853999999
2025-03-24,0.01436209471000001
2025-03-25,0.04242919544000001
