Date,RF_Forecast
2025-02-24,2.3848764090000047
2025-02-25,2.3497812330000043
2025-02-26,2.375427711000004
2025-02-27,2.417762809000003
2025-02-28,2.416658427000003
2025-03-01,2.389907549000003
2025-03-02,2.4081913770000027
2025-03-03,2.422303079
2025-03-04,2.416535693000002
2025-03-05,2.399969782000002
2025-03-06,2.4100320380000024
2025-03-07,2.413099799000003
2025-03-08,2.403160262000002
2025-03-09,2.829210833000001
2025-03-10,2.4111364190000044
2025-03-11,2.206210066000003
2025-03-12,2.3769002490000033
2025-03-13,2.442304882000003
2025-03-14,2.4615704180000026
2025-03-15,2.4126089490000022
2025-03-16,2.3973928630000025
2025-03-17,2.4127316779999997
2025-03-18,2.4155540040000023
2025-03-19,2.4018104410000025
2025-03-20,2.4088049400000027
2025-03-21,2.417517368000003
2025-03-22,2.4063507320000026
2025-03-23,2.8303152260000015
2025-03-24,2.4111364220000038
2025-03-25,2.145713855000002
