Date,HW_Forecast
2025-02-24,0.009421377063168332
2025-02-25,0.009410622764421075
2025-02-26,0.009410116738346169
2025-02-27,0.009402264214820003
2025-02-28,0.009396148432278532
2025-03-01,0.009384923001963679
2025-03-02,0.009386990000030801
2025-03-03,0.009421377063168332
2025-03-04,0.009410622764421075
2025-03-05,0.009410116738346169
2025-03-06,0.009402264214820003
2025-03-07,0.009396148432278532
2025-03-08,0.009384923001963679
2025-03-09,0.009386990000030801
2025-03-10,0.009421377063168332
2025-03-11,0.009410622764421075
2025-03-12,0.009410116738346169
2025-03-13,0.009402264214820003
2025-03-14,0.009396148432278532
2025-03-15,0.009384923001963679
2025-03-16,0.009386990000030801
2025-03-17,0.009421377063168332
2025-03-18,0.009410622764421075
2025-03-19,0.009410116738346169
2025-03-20,0.009402264214820003
2025-03-21,0.009396148432278532
2025-03-22,0.009384923001963679
2025-03-23,0.009386990000030801
2025-03-24,0.009421377063168332
2025-03-25,0.009410622764421075
